,Calidad,Costo
232,0.052000000000000005,32.7928
233,0.066,29.0516
234,0.064,29.5552
235,0.042,33.519999999999996
236,0.055,32.7512
237,0.057999999999999996,32.5132
238,0.063,30.2716
239,0.048,28.8612
240,0.043,29.603199999999998
241,0.048,29.899599999999996
242,0.047,26.8648
243,0.057999999999999996,23.6748
244,0.053,26.5096
245,0.052000000000000005,26.202799999999996
246,0.059000000000000004,27.982400000000002
247,0.092,27.699599999999997
248,0.289,28.4408
249,0.08199999999999999,17.274
250,0.042,27.892799999999998
251,0.045,29.023599999999995
252,0.051,30.934
253,0.061,31.051199999999998
254,0.091,30.3616
255,0.109,30.0444
256,0.051,30.389200000000002
257,0.049,29.2032
258,0.057999999999999996,28.9964
259,0.06,30.009999999999998
260,0.06,29.392799999999998
261,0.047,29.0964
262,0.055,30.299599999999998
263,0.044000000000000004,28.644
264,0.081,32.995599999999996
265,0.083,31.123599999999996
266,0.08199999999999999,30.089199999999998
267,0.042,30.616799999999998
268,0.040999999999999995,20.598
269,0.042,19.784399999999998
270,0.04,18.65
271,0.08800000000000001,30.116799999999998
272,0.063,29.0756
273,0.092,30.21
274,0.07,29.303199999999997
275,0.073,29.799599999999998
276,0.047,21.9924
277,0.066,29.6308
278,0.08,31.630399999999998
279,0.10300000000000001,30.1756
280,0.07,32.5548
281,0.064,29.3652
282,0.10300000000000001,29.8376
283,0.11900000000000001,30.099599999999995
284,0.081,30.0652
285,0.069,30.327199999999998
286,0.077,30.327199999999998
287,0.121,29.937599999999996
288,0.114,30.2444
289,0.08,30.7652
290,0.096,30.195999999999998
291,0.267,28.6824
292,0.111,28.9408
293,0.08199999999999999,29.9272
294,0.092,30.261599999999998
295,0.062,30.6512
296,0.066,30.7548
297,0.066,30.8512
298,0.10400000000000001,30.234
299,0.132,30.589199999999998
300,0.1,30.8168
301,0.134,31.6892
302,0.055,29.051199999999998
303,0.051,28.4548
304,0.055999999999999994,28.282400000000003
305,0.061,28.699599999999997
306,0.095,29.1824
307,0.054000000000000006,26.8168
308,0.07400000000000001,28.799599999999998
309,0.057999999999999996,29.334
310,0.077,29.4892
311,0.061,29.7788
312,0.051,30.2168
313,0.048,31.3444
314,0.063,30.934
315,0.06,31.796
316,0.055,30.8236
317,0.068,28.9548
318,0.067,32.2236
319,0.057,30.982400000000002
320,0.098,31.3236
321,0.08900000000000001,32.526799999999994
322,0.091,33.344
323,0.077,33.8992
324,0.06,34.6856
325,0.057999999999999996,36.599599999999995
326,0.075,26.9576
327,0.09300000000000001,36.806400000000004
328,0.083,35.6584
329,0.08800000000000001,33.8656
330,0.07200000000000001,32.5864
331,0.048,33.2588
332,0.07,32.8692
333,0.08199999999999999,34.3588
334,0.15,32.3932
335,0.207,30.6828
336,0.065,28.4172
337,0.047,32.1656
338,0.053,32.9208
339,0.066,34.327600000000004
340,0.068,34.5
341,0.068,35.352000000000004
342,0.051,34.97279999999999
343,0.065,32.4104
344,0.061,31.0964
345,0.068,30.389599999999998
346,0.066,30.6828
347,0.07,30.482799999999997
348,0.043,31.5828
349,0.057999999999999996,25.399599999999996
350,0.055,31.552
351,0.051,26.6488
352,0.063,35.6452
353,0.07400000000000001,35.9488
354,0.07400000000000001,28.994
355,0.076,35.827999999999996
356,0.07400000000000001,35.866
357,0.067,34.742
358,0.062,30.038400000000003
359,0.07,35.8592
360,0.09300000000000001,34.7796
361,0.066,32.1036
362,0.066,29.176
363,0.055,31.652
364,0.040999999999999995,33.704
365,0.043,31.1248
366,0.063,32.355599999999995
367,0.061,34.7108
368,0.059000000000000004,34.8836
369,0.047,33.8112
370,0.062,26.8176
371,0.075,32.0244
372,0.086,28.466
373,0.096,31.628
374,0.10400000000000001,33.1036
375,0.059000000000000004,33.9588
376,0.076,31.793599999999998
377,0.057999999999999996,32.3728
378,0.063,32.7728
379,0.062,25.4
380,0.064,32.5624
381,0.126,32.4484
382,0.09300000000000001,32.4208
383,0.158,18.96
384,0.063,33.2552
385,0.081,32.8552
386,0.085,26.1344
387,0.121,34.0484
388,0.08800000000000001,30.7412
389,0.083,36.0728
390,0.094,34.2552
391,0.09300000000000001,35.214
392,0.055,35.2384
393,0.046,32.2624
394,0.043,32.807599999999994
395,0.045,33.672799999999995
396,0.065,35.118
397,0.066,32.248400000000004
398,0.08900000000000001,32.2416
399,0.096,31.2796
400,0.10800000000000001,32.9072
401,0.11900000000000001,28.220799999999997
402,0.085,33.1036
403,0.12300000000000001,30.1344
404,0.045,32.3692
405,0.049,15.614799999999999
406,0.04,14.1112
407,0.04,16.5524
408,0.040999999999999995,15.6488
409,0.062,16.5796
410,0.057,30.8756
411,0.047,31.3796
412,0.046,31.986400000000003
413,0.055999999999999994,33.138400000000004
414,0.062,29.1556
415,0.043,33.066
416,0.040999999999999995,33.386799999999994
417,0.040999999999999995,32.6972
418,0.040999999999999995,34.300799999999995
419,0.081,34.1732
420,0.07200000000000001,34.297200000000004
421,0.12300000000000001,33.124399999999994
422,0.10400000000000001,34.8904
